time_cut,discrate,growth_rate,rcp26,rcp45,rcp60,rcp85
all,1.0,MERGEETL60,-4.8067257903362774,-5.744584415485376,-6.172071748726666,-5.929596976046845
all,1.0,REMIND17,-12.758217949014714,-16.03740623979505,-17.759752228085784,-18.478660689462423
all,1.0,REMIND17CEMICS,-12.938907982582325,-15.843226558389041,-17.31699370559166,-17.66076787786219
all,1.0,REMINDMAgPIE1730,-12.063361515332355,-15.062440095493173,-16.68947428982988,-17.28601961415086
all,1.0,WITCHGLOBIOM42,-10.126660165727394,-14.544868156051963,-16.892670581843745,-19.181791518688577
all,1.0,price0,-0.34505922199736916,-0.9195898240332354,-1.383052424233915,-2.0041260630956392
all,1.0,price014,-0.7096647273455245,-3.0011079452735654,-4.539005744331543,-6.656169543486243
all,1.0,price03,-4.404353751282134,-14.694687503652661,-20.93216122118649,-28.976580300707198
all,2.0,MERGEETL60,-1.735758019191271,-1.8293863469139842,-1.9000291591100322,-1.7725815937110727
all,2.0,REMIND17,-5.847675813038603,-6.238706490601072,-6.532483485840084,-6.3968083554186865
all,2.0,REMIND17CEMICS,-5.758599198434792,-6.088127248706792,-6.33764218657868,-6.14503457670742
all,2.0,REMINDMAgPIE1730,-5.628476101616691,-5.9522295741582045,-6.243775199781548,-6.04497823918937
all,2.0,WITCHGLOBIOM42,-4.871554154900088,-5.582179318128835,-5.967708558477774,-6.298690493371388
all,2.0,price0,-0.8285012572193484,-0.8832258914184773,-0.9838832279762498,-0.993864467558674
all,2.0,price014,-1.405145843904613,-1.7336909425094178,-2.0192581946158707,-2.2703542284101963
all,2.0,price03,-3.3848881538515365,-5.044070975698862,-6.117726121175593,-7.446427480344341
all,2.5,MERGEETL60,-1.2460933972156414,-1.2560756519508895,-1.2929491784752005,-1.1807589545190296
all,2.5,REMIND17,-4.490160353529151,-4.578911242953917,-4.728025999583987,-4.504252236893821
all,2.5,REMIND17CEMICS,-4.379123956896474,-4.4408688603480275,-4.568425543592025,-4.3249465979923025
all,2.5,REMINDMAgPIE1730,-4.347906673671733,-4.394475557927342,-4.549278942865289,-4.274155493712012
all,2.5,WITCHGLOBIOM42,-3.7507374381960017,-4.046860624076346,-4.2260009507089125,-4.314982341175471
