time_cut,discrate,growth_rate,rcp26,rcp45,rcp60,rcp85
all,1.0,price014,49.94621034599286,53.20016625768628,52.02199358804898,42.912881558424516
all,2.0,price014,11.119589964043314,11.903611586368466,11.559198702532886,10.594573356688565
all,2.5,price014,5.910689565992,6.373820247350319,6.165262858998208,5.960455582227869
all,3.0,price014,3.3368103676237117,3.639805414122751,3.5033852681764346,3.5723240955000826
all,5.0,price014,0.44576246110393064,0.5488633939813385,0.5009002448858833,0.6726949041751056
all,rho0.01eta1,price014,21.521826349196385,22.941065821764873,22.36515513106329,19.28845306452356
all,rho0.01eta2,price014,9.93830035046294,10.621151112150159,10.32281977554592,9.317545360873007
all,rho0.01eta3,price014,4.873792506716363,5.234597150239129,5.070562610658971,4.788363243099793
all,rho0.0eta1,price014,118.38472784459401,126.19253520904915,123.87699185909186,96.95985300359807
all,rho0.0eta2,price014,46.68708323433484,49.72262424744832,48.663342849378246,39.62162877015118
all,rho0.0eta3,price014,19.80990313529938,21.102598584658622,20.590314895867373,17.506365744908408
post2100,1.0,price014,46.35350279171659,49.17638813008779,48.10259781642496,38.35011782913807
post2100,2.0,price014,9.244982773696638,9.754929705272028,9.48704070025509,8.081734157124782
post2100,2.5,price014,4.562780977997657,4.803644853540004,4.661972042779365,4.085966639787511
post2100,3.0,price014,2.3746232721319274,2.495343050640287,2.4180559828013313,2.170828216456255
post2100,5.0,price014,0.2477476184379543,0.2592249969732087,0.2506218604368215,0.2387663523272999
post2100,rho0.01eta1,price014,19.209740783091334,20.32900356531036,19.83053505742911,16.29107332275457
post2100,rho0.01eta2,price014,8.454719948810203,8.926504166897349,8.686585983086191,7.34393457708434
post2100,rho0.01eta3,price014,3.9286162172181474,4.139235116805245,4.019970705962547,3.4883975913396243
post2100,rho0.0eta1,price014,113.94571346660825,121.26941222304396,119.06320055677253,91.45246552326056
post2100,rho0.0eta2,price014,43.82275431543337,46.52419835809275,45.54492220164302,36.0090395029182
post2100,rho0.0eta3,price014,17.963201865148022,19.02284067088023,18.57014300321297,15.129354118896156
pre2100,1.0,price014,3.59270755427627,4.023778127598495,3.9193957716240195,4.56276372928645
pre2100,2.0,price014,1.8746071903466772,2.1486818810964388,2.072158002277794,2.5128391995637838
pre2100,2.5,price014,1.3479085879943429,1.5701753938103158,1.503290816218842,1.874488942440357
pre2100,3.0,price014,0.9621870954917836,1.144462363482464,1.0853292853751026,1.401495879043828
pre2100,5.0,price014,0.19801484266597624,0.2896383970081298,0.2502783844490618,0.4339285518478056
pre2100,rho0.01eta1,price014,2.312085566105049,2.6120622564545135,2.5346200736341844,2.9973797417689862
pre2100,rho0.01eta2,price014,1.4835804016527367,1.6946469452528106,1.6362337924597303,1.9736107837886652
pre2100,rho0.01eta3,price014,0.9451762894982152,1.0953620334338838,1.0505919046964243,1.2999656517601694
pre2100,rho0.0eta1,price014,4.43901437798574,4.923122986005209,4.813791302319305,5.507387480337506
pre2100,rho0.0eta2,price014,2.8643289189014727,3.1984258893555713,3.1184206477352294,3.6125892672329836
pre2100,rho0.0eta3,price014,1.846701270151359,2.079757913778392,2.0201718926544046,2.3770116260122496
share_post2100,1.0,price014,0.9280684654673804,0.9243653091588385,0.9246588701951549,0.8936737976200831
share_post2100,2.0,price014,0.8314140002996091,0.8194932802111066,0.8207351516655096,0.7628182735666861
share_post2100,2.5,price014,0.7719540887835274,0.7536523885399722,0.7561676037827344,0.6855124718940157
share_post2100,3.0,price014,0.7116446577762824,0.6855704541122298,0.690205557683345,0.6076795269473905
share_post2100,5.0,price014,0.5557839433684195,0.4722941989132225,0.5003428586742237,0.35494003424938675
share_post2100,rho0.01eta1,price014,0.8925701969437467,0.8861403268379809,0.8866710264793196,0.8446023778194042
share_post2100,rho0.01eta2,price014,0.8507209131002335,0.8404460187639922,0.8414935232778297,0.7881833994523479
share_post2100,rho0.01eta3,price014,0.8060696494166075,0.7907456864404847,0.7928056538562515,0.7285156564440957
share_post2100,rho0.0eta1,price014,0.9625034879176904,0.9609872091257252,0.961140553785848,0.94319930043486
share_post2100,rho0.0eta2,price014,0.9386483643768311,0.9356746362895415,0.9359184867881498,0.9088227975636752
share_post2100,rho0.0eta3,price014,0.9067788844024831,0.9014454117849563,0.9018872755044719,0.8642201550768133
