time_cut,discrate,growth_rate,rcp26,rcp45,rcp60,rcp85
all,1.0,MERGEETL60,-2.8397331116376288,-2.8494872086214755,-2.8382648259608434,-2.4751902848547527
all,1.0,REMIND17,-11.33194256760098,-11.726986592478278,-11.811081454935502,-10.811072220250797
all,1.0,REMIND17CEMICS,-11.170789946466119,-11.524269688349893,-11.578775994662834,-10.547842922947178
all,1.0,REMINDMAgPIE1730,-10.830840844237104,-11.166682640753717,-11.275961308306805,-10.26009971674446
all,1.0,WITCHGLOBIOM42,-10.463753377536138,-11.338190406242173,-11.55057679783172,-11.131046007494447
all,1.0,price0,-1.5079726194326715,-1.5638380099184173,-1.649476211063924,-1.5527809939726778
all,1.0,price014,-3.1489478344426938,-3.481236832093278,-3.7065360604403748,-3.6778614633366993
all,1.0,price03,-8.675924974237514,-10.28534119458049,-11.09014001940902,-11.509872868869817
all,2.0,MERGEETL60,-1.3901991052164318,-1.3376737701579036,-1.3416883267134172,-1.1735424673728905
all,2.0,REMIND17,-5.584948362194918,-5.517664996047494,-5.5517651999945565,-5.090789405494114
all,2.0,REMIND17CEMICS,-5.4387048660205,-5.363330071413047,-5.388833691592339,-4.930085047479924
all,2.0,REMINDMAgPIE1730,-5.399351135725642,-5.299860392428965,-5.3507444898555905,-4.847593409242135
all,2.0,WITCHGLOBIOM42,-4.913971390061453,-5.059493102496431,-5.102260910367394,-4.946068631114109
all,2.0,price0,-1.0251887020852932,-0.9962921351130641,-1.0344595343722573,-0.9251160476661058
all,2.0,price014,-1.8166554695441652,-1.8308984360918028,-1.9018615139863866,-1.7873738842391949
all,2.0,price03,-4.087385399787295,-4.3593810025407045,-4.554734828049835,-4.544480560004362
all,2.5,MERGEETL60,-1.0864739594852697,-1.0327184891052381,-1.0411741715718255,-0.9061185979357149
all,2.5,REMIND17,-4.364850038398089,-4.252708633362798,-4.288483097005802,-3.910291967690797
all,2.5,REMIND17CEMICS,-4.228392903886198,-4.112768009454114,-4.14276134589004,-3.771778802325792
all,2.5,REMINDMAgPIE1730,-4.237702673910947,-4.098756943189454,-4.148529753312868,-3.729005001549182
all,2.5,WITCHGLOBIOM42,-3.7657360510998874,-3.813632453872188,-3.842099741937822,-3.7051330230263293
all,2.5,price0,-0.8931761107621966,-0.8562297966250096,-0.8872083728230341,-0.7808027049790017
all,2.5,price014,-1.4986727565282127,-1.474097936748523,-1.5237514089013326,-1.399742012518141
all,2.5,price03,-3.114506109089773,-3.206705723700076,-3.32073396615738,-3.2337636520277
all,3.0,MERGEETL60,-0.8887338436695386,-0.8381593550809391,-0.8493109115993709,-0.7349930263719403
all,3.0,REMIND17,-3.56633091681228,-3.442376569001413,-3.481086782879337,-3.153857127279604
all,3.0,REMIND17CEMICS,-3.438982738785312,-3.3137789061351968,-3.3480057366086933,-3.0305005393503923
all,3.0,REMINDMAgPIE1730,-3.4736501209270765,-3.32659344779366,-3.377164418171807,-3.011390289736427
all,3.0,WITCHGLOBIOM42,-3.028498757304592,-3.0306253094458055,-3.054953211031035,-2.9251211422534475
all,3.0,price0,-0.7938901882284362,-0.7552158301474505,-0.7821494348218254,-0.6807537904348812
all,3.0,price014,-1.2764013397699465,-1.23611473454108,-1.274972268766502,-1.1503711354536956
all,3.0,price03,-2.482500488150832,-2.491088038718659,-2.5658685252689075,-2.4421357626777915
all,5.0,MERGEETL60,-0.5121186784192081,-0.47889608926021693,-0.4923345880287965,-0.4204838084289737
all,5.0,REMIND17,-2.041860585098351,-1.9451215440329594,-1.9866882350012356,-1.769152484454464
all,5.0,REMIND17CEMICS,-1.9417085739123217,-1.8460418179020022,-1.8841211774987419,-1.6789383734486856
all,5.0,REMINDMAgPIE1730,-2.000153513835579,-1.8889705966048491,-1.9373298258446707,-1.6939759970232713
all,5.0,WITCHGLOBIOM42,-1.6791480165705317,-1.6436562774529462,-1.668235556597372,-1.555771118728077
all,5.0,price0,-0.5537753766350806,-0.5229830423720532,-0.5426779150846399,-0.46421275593950645
all,5.0,price014,-0.8019981091062937,-0.7602158235173528,-0.7847591101374704,-0.6836717999214948
all,5.0,price03,-1.3108902046983224,-1.2557518728053627,-1.2883731076631024,-1.155739449231518
all,rho0.01eta1,MERGEETL60,-1.7128725614925182,-1.6842627878733127,-1.6807111857272845,-1.4743170230505271
all,rho0.01eta1,REMIND17,-6.868296225030309,-6.948946754995964,-6.986367487625965,-6.426650550764736
all,rho0.01eta1,REMIND17CEMICS,-6.729436352045515,-6.793005080598451,-6.815940986654097,-6.248950113615933
all,rho0.01eta1,REMINDMAgPIE1730,-6.596064495516794,-6.640599579244377,-6.695650572848379,-6.107279169750318
all,rho0.01eta1,WITCHGLOBIOM42,-6.216175909585744,-6.569331606758789,-6.653019922870024,-6.451363858469187
all,rho0.01eta1,price0,-1.0757092289794126,-1.0766446912476746,-1.1246749316890874,-1.0334955554472696
all,rho0.01eta1,price014,-2.061742898581684,-2.1733490098530996,-2.2825081475447995,-2.2143051305976797
all,rho0.01eta1,price03,-5.161731225061721,-5.8183596158639626,-6.175150283213455,-6.326224876032466
all,rho0.01eta2,MERGEETL60,-1.1149542985460965,-1.0795682583408481,-1.0809702085157438,-0.9490334441367838
all,rho0.01eta2,REMIND17,-4.484599763319094,-4.458887054095795,-4.483875854334325,-4.1241363052225335
all,rho0.01eta2,REMIND17CEMICS,-4.366543964605376,-4.333973438093166,-4.350784448730119,-3.993781168136599
all,rho0.01eta2,REMINDMAgPIE1730,-4.323849759655458,-4.274125910075415,-4.311489162086154,-3.924051862925648
all,rho0.01eta2,WITCHGLOBIOM42,-3.9853611861714655,-4.127011782379052,-4.1657269416715526,-4.040023632956801
all,rho0.01eta2,price0,-0.8050427288297836,-0.7884635092885997,-0.8192202074821054,-0.7387039181758339
all,rho0.01eta2,price014,-1.437426895905003,-1.4646492572878003,-1.5242964619245982,-1.4461231401572072
all,rho0.01eta2,price03,-3.2954029755602807,-3.563841588310111,-3.7358261902137073,-3.760334690903041
all,rho0.01eta3,MERGEETL60,-0.7701713868059888,-0.7377760750382378,-0.7418045332145814,-0.6502166328812784
all,rho0.01eta3,REMIND17,-3.103200412449805,-3.046815674119352,-3.068469335228096,-2.814340012654748
all,rho0.01eta3,REMIND17CEMICS,-3.0026265067728124,-2.9438713396081306,-2.960154408026094,-2.71299901363332
all,rho0.01eta3,REMINDMAgPIE1730,-3.0007205304768405,-2.9274526359078235,-2.9578571566189367,-2.6805531364890847
all,rho0.01eta3,WITCHGLOBIOM42,-2.7153987385337266,-2.7677817768114243,-2.7902461274782713,-2.695582235801977
all,rho0.01eta3,price0,-0.6239175528289027,-0.6034270724479485,-0.6252428415242087,-0.5562223640600793
all,rho0.01eta3,price014,-1.0503700888868686,-1.0458228502005655,-1.0824186967371616,-1.0070956552049397
all,rho0.01eta3,price03,-2.2244048007532107,-2.3285796077317644,-2.4190973429502303,-2.3879091218199093
all,rho0.0eta1,MERGEETL60,-4.479005499954518,-4.645971736910351,-4.631593717223286,-3.970378479502537
all,rho0.0eta1,REMIND17,-17.725638929862797,-19.030979721052883,-19.280590632250316,-17.365725767570133
all,rho0.0eta1,REMIND17CEMICS,-17.59368113210783,-18.801976608740247,-18.98688719874262,-16.990657859204493
all,rho0.0eta1,REMINDMAgPIE1730,-16.81527470504345,-18.027466580018444,-18.303235848095134,-16.451646119738754
all,rho0.0eta1,WITCHGLOBIOM42,-16.83618366031649,-18.955169337323667,-19.53529952717602,-18.47227868847065
all,rho0.0eta1,price0,-1.8400009187499504,-2.0627892089122986,-2.2234430137257575,-2.172870953986833
all,rho0.0eta1,price014,-4.38946350315489,-5.2875514111352615,-5.772680773451373,-5.873850186430309
all,rho0.0eta1,price03,-13.785024094789224,-17.658534094628735,-19.511846110213867,-20.40514180629005
all,rho0.0eta2,MERGEETL60,-2.3914978589728726,-2.4208351145578764,-2.4101638525642204,-2.0992007714660446
all,rho0.0eta2,REMIND17,-9.533539312558627,-9.958584902383206,-10.038838841410069,-9.17557311838401
all,rho0.0eta2,REMIND17CEMICS,-9.407238713700117,-9.793999651982986,-9.846221079533732,-8.955169225978796
all,rho0.0eta2,REMINDMAgPIE1730,-9.088610774152025,-9.465688279894561,-9.564799284721222,-8.702537220911434
all,rho0.0eta2,WITCHGLOBIOM42,-8.886371739434809,-9.715892195308596,-9.922799025110441,-9.530672127217922
all,rho0.0eta2,price0,-1.2066635576333768,-1.2727770000836478,-1.347778290385731,-1.282348759402283
all,rho0.0eta2,price014,-2.5802755130132913,-2.910798403692775,-3.1157795047719,-3.118656555730203
all,rho0.0eta2,price03,-7.326178893305128,-8.856421190867692,-9.604322235185641,-10.013505015367489
all,rho0.0eta3,MERGEETL60,-1.4144263635964507,-1.401607548004597,-1.3970397182585121,-1.2271971257216885
all,rho0.0eta3,REMIND17,-5.6711890925128605,-5.784284891816398,-5.816206981960356,-5.355374749611665
all,rho0.0eta3,REMIND17CEMICS,-5.5595950907993235,-5.657249191112301,-5.675485487398492,-5.208425789461864
all,rho0.0eta3,REMINDMAgPIE1730,-5.431876291041478,-5.516835937130149,-5.561957973485298,-5.085596532461946
all,rho0.0eta3,WITCHGLOBIOM42,-5.183256817931129,-5.519665318003642,-5.599783240014569,-5.4230664823887995
all,rho0.0eta3,price0,-0.856472596887624,-0.8673492028809888,-0.9079577146184223,-0.8424642120689791
all,rho0.0eta3,price014,-1.6667624901294664,-1.784678764982364,-1.8812264415068005,-1.842600827013852
all,rho0.0eta3,price03,-4.279840233849764,-4.908266141992971,-5.234197629289031,-5.3992700319875375
post2100,1.0,MERGEETL60,-1.4158983993649745,-1.5341723819166009,-1.5182836151715582,-1.3389078659344857
post2100,1.0,REMIND17,-5.4697280131162795,-6.1592327148210195,-6.235828634068682,-5.7527623272454145
post2100,1.0,REMIND17CEMICS,-5.4946684150803025,-6.1386452449697675,-6.186719251901499,-5.657533958751689
post2100,1.0,REMINDMAgPIE1730,-5.124444731360252,-5.78752895104531,-5.8694362156488165,-5.432298131892829
post2100,1.0,WITCHGLOBIOM42,-5.427984581356484,-6.37786023818431,-6.61143992516913,-6.371739653300084
post2100,1.0,price0,-0.2973476004087012,-0.42689133600467033,-0.48566381724148744,-0.5424689940046112
post2100,1.0,price014,-1.0585493038099318,-1.5007532753152883,-1.698730147257443,-1.8838401276705978
post2100,1.0,price03,-4.332248804462957,-6.1043972025331055,-6.892322707816416,-7.6159574179429566
post2100,2.0,MERGEETL60,-0.3645317882305889,-0.38962129610429574,-0.3819901734084913,-0.3529099127498093
post2100,2.0,REMIND17,-1.4096255944686358,-1.5609126131237363,-1.5633106178686043,-1.505858470491242
post2100,2.0,REMIND17CEMICS,-1.415757975476563,-1.5563591791541924,-1.5520977692340023,-1.4828985884339334
post2100,2.0,REMINDMAgPIE1730,-1.3207449661879838,-1.4664796905173214,-1.471070562633441,-1.4212814939183909
post2100,2.0,WITCHGLOBIOM42,-1.4004783311547957,-1.6126948762796554,-1.6514789165729893,-1.657146548858424
post2100,2.0,price0,-0.07718883345814251,-0.10692968382179666,-0.11967671625400461,-0.1382769792669611
post2100,2.0,price014,-0.27467512137860745,-0.37611846648216146,-0.41889801219914025,-0.48063852627901077
post2100,2.0,price03,-1.1239150173420367,-1.5302904359941194,-1.700214381841026,-1.9440162738965832
post2100,2.5,MERGEETL60,-0.19970760596910497,-0.21238033542400422,-0.20755266865709823,-0.19497289915051746
post2100,2.5,REMIND17,-0.7725201979741566,-0.850190691080121,-0.8482476783150646,-0.8297740857191614
post2100,2.5,REMIND17CEMICS,-0.7758263387037388,-0.8478424716177396,-0.8423947578392493,-0.8175337256438007
post2100,2.5,REMINDMAgPIE1730,-0.7238299421102994,-0.7987090381451387,-0.7981172678345515,-0.7830250578803976
post2100,2.5,WITCHGLOBIOM42,-0.7678051980830853,-0.8776752225791029,-0.8948260685043657,-0.9108940614708148
post2100,2.5,price0,-0.04240524147857018,-0.05799243917748746,-0.0644990424051247,-0.07541700853393274
post2100,2.5,price014,-0.1508771891145646,-0.20402557220406561,-0.22582651671453804,-0.26223771820222486
post2100,2.5,price03,-0.6173170039492089,-0.8301884086789179,-0.9167089430291292,-1.06085346118487
post2100,3.0,MERGEETL60,-0.11344328871816098,-0.12015711307028346,-0.11714146800538237,-0.11147815513896234
