"","electricity","other_fuels"
"Per capita impact (GJ)",1.20568764566672,-2.94169399574567
"Total impact (billion GJ)",15.0203494697098,-36.6473621985347
"Emissions factor (t CO2e per GJ)",0.108185687230877,0.0503044137278855
"Additional emissions (Gt CO2e)",1.62498682982849,-1.84352407007076
