country,year,product,load_pc
GBR,1971,electricity,13.30075149740747
GBR,1972,electricity,13.72863524955437
GBR,1973,electricity,14.75836279348986
GBR,1974,electricity,14.33519736842105
GBR,1975,electricity,14.19143250933665
GBR,1976,electricity,14.43633549003913
GBR,1977,electricity,14.71557216586581
GBR,1978,electricity,14.97638561320755
GBR,1979,electricity,15.59799519914652
GBR,1980,electricity,14.78266909284573
GBR,1981,electricity,14.49019861160397
GBR,1982,electricity,14.20400492982768
GBR,1983,electricity,14.36217984286222
GBR,1984,electricity,14.50693970483957
GBR,1985,electricity,15.12897270114943
GBR,1986,electricity,15.57415644848271
GBR,1987,electricity,16.05207636443662
GBR,1988,electricity,16.56922270291637
GBR,1989,electricity,16.85515833041346
GBR,1990,electricity,16.9287490172956
GBR,1991,electricity,17.28500990163649
GBR,1992,electricity,17.26081839295016
GBR,1993,electricity,17.38538814763472
GBR,1994,electricity,17.25406260801936
GBR,1995,electricity,17.78070663880751
GBR,1996,electricity,18.63954231860385
GBR,1997,electricity,18.69056551191905
GBR,1998,electricity,18.91023693997948
GBR,1999,electricity,19.27515177658487
GBR,2000,electricity,19.61187170996774
GBR,2001,electricity,19.7274662705126
GBR,2002,electricity,19.70493831059458
GBR,2003,electricity,19.80034268108652
GBR,2004,electricity,20.1112432235196
GBR,2005,electricity,20.53787142029465
GBR,2006,electricity,20.19549050632912
GBR,2007,electricity,19.82673016552511
GBR,2008,electricity,19.67710085732773
GBR,2009,electricity,18.3715040756505
GBR,2010,electricity,18.63698862731039
