time,regions,heating
1950,USA,
1950,CAN,
1950,WEU,
1950,JPK,
1950,ANZ,
1950,EEU,
1950,FSU,
1950,MDE,
1950,CAM,
1950,LAM,
1950,SAS,
1950,SEA,
1950,CHI,
1950,MAF,
1950,SSA,
1950,SIS,
1951,USA,2.227193197509551
1951,CAN,0.10841220583826792
1951,WEU,1.5657800174757415
1951,JPK,0.4733900235365534
1951,ANZ,0.05174109806956763
1951,EEU,0.1303482253027397
1951,FSU,0.950110375512663
1951,MDE,0.47824946970157545
1951,CAM,0.04808544295972059
1951,LAM,0.2406287602283389
1951,SAS,0.06632864568249927
1951,SEA,0.07227773973384918
1951,CHI,0.3371352751940126
1951,MAF,0.0007141109369423843
1951,SSA,0.001511704608562147
1951,SIS,0.008164627258017292
1952,USA,2.3496379706354227
1952,CAN,0.116353316953258
1952,WEU,1.6466082961438337
1952,JPK,0.5032815373427162
1952,ANZ,0.054560275077738786
1952,EEU,0.13809746895416786
1952,FSU,1.0104760112888933
1952,MDE,0.5116340227537809
1952,CAM,0.05204987333314587
1952,LAM,0.2594294616615828
1952,SAS,0.06970840700710713
1952,SEA,0.07815514548008277
1952,CHI,0.36245677156691974
1952,MAF,0.0007691957749498375
1952,SSA,0.0015899734948957088
1952,SIS,0.00870524953603404
1953,USA,2.478744124317524
1953,CAN,0.12487256754644423
1953,WEU,1.7315599712801784
1953,JPK,0.5350453351157459
1953,ANZ,0.057531427056122485
1953,EEU,0.14630325910350114
1953,FSU,1.0746465292120213
1953,MDE,0.5473334889231113
1953,CAM,0.05633955577389439
1953,LAM,0.2796911605013046
1953,SAS,0.07325830603333117
1953,SEA,0.08450808769208672
1953,CHI,0.38966906110015154
1953,MAF,0.0008285062350210528
1953,SSA,0.0016722473549625125
1953,SIS,0.009281406036814007
1954,USA,2.614563659548508
1954,CAN,0.13399607935505414
1954,WEU,1.8206294056551913
1954,JPK,0.568731053487821
1954,ANZ,0.06065554637533327
1954,EEU,0.15497407735005575
1954,FSU,1.1427258447735034
1954,MDE,0.5854386670722508
1954,CAM,0.06097389472509435
1954,LAM,0.30149142486561153
1954,SAS,0.07697777660612298
1954,SEA,0.09136413558919664
1954,CHI,0.4188633957374967
1954,MAF,0.0008922600513648487
1954,SSA,0.0017585224928009706
1954,SIS,0.009894254949506022
1955,USA,2.7572378927163026
1955,CAN,0.1437555552048052
1955,WEU,1.913872769131196
1955,JPK,0.6044088252910602
1955,ANZ,0.06393569443345172
1955,EEU,0.16412381869066325
1955,FSU,1.2148592208627766
1955,MDE,0.6260633492586182
1955,CAM,0.06597538753664076
1955,LAM,0.32492167449081355
1955,SAS,0.08086886519224082
1955,SEA,0.0987553699075407
1955,CHI,0.45014910236898475
1955,MAF,0.0009607150894602553
1955,SSA,0.0018488549171691258
1955,SIS,0.010545323724240177
1956,USA,2.906789619136999
1956,CAN,0.15417768684463917
1956,WEU,2.011263248933014
1956,JPK,0.6421241391609167
1956,ANZ,0.06737217970526405
1956,EEU,0.173759481232561
1956,FSU,1.2911425783777422
1956,MDE,0.6692979602814442
1956,CAM,0.0713648418321593
1956,LAM,0.35006343136060286
1956,SAS,0.08493010852567778
1956,SEA,0.1067112076475316
1956,CHI,0.4836205114715181
1956,MAF,0.0010340990027599174
1956,SSA,0.0019432204937556265
1956,SIS,0.011235724463066693
1957,USA,3.063317325185638
1957,CAN,0.16529413316236946
1957,WEU,2.112826313938833
1957,JPK,0.681940086557724
1957,ANZ,0.07096706340212076
1957,EEU,0.18389267648545987
1957,FSU,1.371707384041598
1957,MDE,0.715253097292923
1957,CAM,0.07716594688492152
1957,LAM,0.3770108358587561
1957,SAS,0.08916225294463732
1957,SEA,0.1152652440162655
1957,CHI,0.5193881776892922
1957,MAF,0.0011126758218689635
1957,SSA,0.0020416455939330064
1957,SIS,0.011966889164339203
1958,USA,3.2276624292648703
1958,CAN,0.1771785267635843
1958,WEU,2.219097629218807
1958,JPK,0.7240877120411382
1958,ANZ,0.074739605994692
1958,EEU,0.19457995094812633
1958,FSU,1.4570232535054266
1958,MDE,0.7642188153881576
1958,CAM,0.08342280817977184
1958,LAM,0.4059557087645557
1958,SAS,0.0935875593408491
1958,SEA,0.12448139494792891
1958,CHI,0.5576955012483795
1958,MAF,0.0011969965977715858
1958,SSA,0.0021446496837071033
1958,SIS,0.012743220274756856
1959,USA,3.4009073820539206
1959,CAN,0.18992201579811735
1959,WEU,2.3307709675325015
1959,JPK,0.7688590179181528
1959,ANZ,0.07871461062944307
1959,EEU,0.20589335164103248
1959,FSU,1.5476831969043645
1959,MDE,0.816556580167788
1959,CAM,0.09018919245458633
1959,LAM,0.4371334610425487
1959,SAS,0.09823489547388103
1959,SEA,0.13443770712272174
1959,CHI,0.5988427560012012
1959,MAF,0.0012877387337700422
1959,SSA,0.0022529053575781766
1959,SIS,0.01357024503879564
1960,USA,3.5852054889270226
1960,CAN,0.20368173517095112
1960,WEU,2.449262539373198
1960,JPK,0.8167982482064553
1960,ANZ,0.08294160764071046
1960,EEU,0.21797119597000922
1960,FSU,1.6447890347144538
1960,MDE,0.872905821335806
1960,CAM,0.09755212667595767
1960,LAM,0.47093611841422706
1960,SAS,0.10316348463758607
1960,SEA,0.14526142400043143
1960,CHI,0.6433406738510266
1960,MAF,0.001386038047193763
1960,SSA,0.0023677840069271133
1960,SIS,0.01445801727709991
1961,USA,3.762802928025684
1961,CAN,0.21646450351100865
1961,WEU,2.5765166107764768
1961,JPK,0.8676161452075196
1961,ANZ,0.08700402944756404
1961,EEU,0.22980986758556238
1961,FSU,1.7393487836312953
1961,MDE,0.9342529149966753
1961,CAM,0.10574174598618989
1961,LAM,0.5067557424269048
1961,SAS,0.10855897573612741
1961,SEA,0.15749310910628178
1961,CHI,0.6956575873870472
1961,MAF,0.0014934159907249148
1961,SSA,0.002497504172884837
1961,SIS,0.0154188482650505
1962,USA,3.948566470225024
1962,CAN,0.23001271938346554
1962,WEU,2.7099489681156266
1962,JPK,0.9214483822131655
1962,ANZ,0.09125083429780416
