ssp,year,discount_factors
SSP2,2011,0.9686393288577818
SSP2,2012,0.9382621494100548
SSP2,2013,0.9088376186972146
SSP2,2014,0.8803358610155753
SSP2,2015,0.8527279375835642
SSP2,2016,0.8255616857598121
SSP2,2017,0.799260897826269
SSP2,2018,0.7737980017884591
SSP2,2019,0.7491463040419643
SSP2,2020,0.7252799613886337
SSP2,2021,0.7045335529767407
SSP2,2022,0.6843805891447428
SSP2,2023,0.6648040945944395
SSP2,2024,0.6457875796007694
SSP2,2025,0.6273150261221461
SSP2,2026,0.6123653668710692
SSP2,2027,0.5977719756869392
SSP2,2028,0.5835263622802189
SSP2,2029,0.5696202386950154
SSP2,2030,0.5560455144872305
SSP2,2031,0.5450308930797216
SSP2,2032,0.5342344586399872
SSP2,2033,0.5236518891354183
SSP2,2034,0.5132789481478939
SSP2,2035,0.5031114831778599
SSP2,2036,0.49440429428902477
SSP2,2037,0.4858477979223856
SSP2,2038,0.4774393860908482
SSP2,2039,0.4691764959429147
SSP2,2040,0.4610566089815341
SSP2,2041,0.45378096893052283
SSP2,2042,0.4466201411110695
SSP2,2043,0.43957231374463435
SSP2,2044,0.4326357036431958
SSP2,2045,0.4258085557580866
SSP2,2046,0.41953467446909787
SSP2,2047,0.4133532328126526
SSP2,2048,0.40726286877929146
SSP2,2049,0.4012622404274597
SSP2,2050,0.39535002558782695
SSP2,2051,0.38966403340140665
SSP2,2052,0.38405981813430223
SSP2,2053,0.37853620365677004
SSP2,2054,0.37309203075436703
SSP2,2055,0.3677261568846719
SSP2,2056,0.36239044342057847
SSP2,2057,0.35713215125936987
SSP2,2058,0.35195015701648297
SSP2,2059,0.34684335360768537
SSP2,2060,0.34181065001255784
SSP2,2061,0.33684803162650995
SSP2,2062,0.33195746360297895
SSP2,2063,0.32713789987024755
SSP2,2064,0.3223883095441137
SSP2,2065,0.3177076767073903
SSP2,2066,0.31313895955938514
SSP2,2067,0.30863594172527387
SSP2,2068,0.304197678432223
SSP2,2069,0.2998232384934718
SSP2,2070,0.2955117041129628
SSP2,2071,0.29132840137582483
SSP2,2072,0.2872043180250834
SSP2,2073,0.28313861574327887
SSP2,2074,0.27913046808028297
SSP2,2075,0.27517906028530614
SSP2,2076,0.27128801184650875
SSP2,2077,0.2674519830663195
SSP2,2078,0.26367019596346153
SSP2,2079,0.25994188355735987
SSP2,2080,0.2562662897125911
SSP2,2081,0.25265897930086983
SSP2,2082,0.24910244688426122
SSP2,2083,0.2455959776906789
SSP2,2084,0.24213886700946521
SSP2,2085,0.2387304200497607
SSP2,2086,0.23536731075675477
SSP2,2087,0.23205157918844088
SSP2,2088,0.2287825579122136
SSP2,2089,0.2255595888979095
SSP2,2090,0.2223820233853492
SSP2,2091,0.21927350670799348
SSP2,2092,0.21620844172599646
SSP2,2093,0.2131862210596895
SSP2,2094,0.21020624581952296
SSP2,2095,0.20726792548738873
SSP2,2096,0.2044010424611466
SSP2,2097,0.20157381351194925
SSP2,2098,0.19878569015357897
SSP2,2099,0.19603613148635643
SSP2,2100,0.193324604092203
SSP2,2101,0.19065058193115889
SSP2,2102,0.18801354623932975
SSP2,2103,0.18541298542824605
SSP2,2104,0.18284839498561406
SSP2,2105,0.18031927737743994
SSP2,2106,0.17782514195150745
SSP2,2107,0.17536550484219074
SSP2,2108,0.1729398888765837
SSP2,2109,0.17054782348192793
SSP2,2110,0.1681888445943208
SSP2,2111,0.1658624945686866
SSP2,2112,0.1635683220899927
SSP2,2113,0.16130588208569382
SSP2,2114,0.1590747356393874
SSP2,2115,0.15687444990566318
SSP2,2116,0.15470459802613068
SSP2,2117,0.15256475904660796
SSP2,2118,0.1504545178354561
SSP2,2119,0.14837346500304302
SSP2,2120,0.14632119682232136
SSP2,2121,0.1442973151505049
SSP2,2122,0.1423014273518283
SSP2,2123,0.14033314622137522
SSP2,2124,0.13839208990996008
SSP2,2125,0.13647788185004886
SSP2,2126,0.13459015068270433
SSP2,2127,0.13272853018554212
SSP2,2128,0.13089265920168286
SSP2,2129,0.1290821815696875
SSP2,2130,0.1272967460544613
SSP2,2131,0.12553600627911388
SSP2,2132,0.1237996206577616
SSP2,2133,0.12208725232925942
SSP2,2134,0.12039856909184944
SSP2,2135,0.11873324333871324
SSP2,2136,0.11709095199441576
SSP2,2137,0.11547137645222823
SSP2,2138,0.11387420251231802
SSP2,2139,0.11229912032079348
SSP2,2140,0.1107458243095918
SSP2,2141,0.10921401313719852
SSP2,2142,0.1077033896301867
SSP2,2143,0.10621366072556507
SSP2,2144,0.10474453741392326
SSP2,2145,0.10329573468336362
SSP2,2146,0.10186697146420859
SSP2,2147,0.10045797057447275
SSP2,2148,0.09906845866608917
SSP2,2149,0.09769816617187949
SSP2,2150,0.09634682725325754
SSP2,2151,0.09501417974865628
SSP2,2152,0.09369996512266816
SSP2,2153,0.09240392841588885
SSP2,2154,0.09112581819545476
SSP2,2155,0.08986538650626477
SSP2,2156,0.08862238882287658
SSP2,2157,0.08739658400206848
SSP2,2158,0.0861877342360572
SSP2,2159,0.08499560500636288
SSP2,2160,0.08381996503831221
SSP2,2161,0.0826605862561708
SSP2,2162,0.08151724373889618
SSP2,2163,0.08038971567650284
SSP2,2164,0.07927778332703075
SSP2,2165,0.0781812309741092
SSP2,2166,0.07709984588510745
SSP2,2167,0.07603341826986436
SSP2,2168,0.07498174123998881
SSP2,2169,0.07394461076872309
SSP2,2170,0.0729218256513614
SSP2,2171,0.07191318746621589
SSP2,2172,0.07091850053612256
SSP2,2173,0.06993757189047968
SSP2,2174,0.06897021122781119
SSP2,2175,0.06801623087884794
SSP2,2176,0.06707544577011967
SSP2,2177,0.06614767338805046
SSP2,2178,0.06523273374355082
