,original,passing_tau,failing_tau,passing_tt100,failing_tt100,passing_tt500,failing_tt500,passing_dT<0,failing_dT<0
5,1.078085282155035,1.2560036443394367,-1.4547868305289242,1.3208775615958634,0.9415278336936574,1.453200687676384,1.0851021001081549,1.2558546677608773,1.3994768229623813
10,1.7295091851374125,1.828914485132751,-1.0599225154885719,1.8974235548089022,1.4299284893927333,2.0442768433604552,1.5940417239430404,1.8289028356401569,1.9043286451461308
17,2.318422614656654,2.378649469043985,-0.7280746889063974,2.4567683900906117,1.9331428335659975,2.609084505989377,2.124576107713231,2.3786059991279718,2.4418973836883486
50,4.031175976935781,4.031927156854009,-0.014712731299291626,4.103686973594371,3.4845589981676297,4.239695848527126,3.748736621019394,4.031885272337993,4.113873928249847
83,5.72836632284022,5.669736574088639,8.759055159672972,5.731264077711435,5.140585081605943,5.851593684238823,5.391421044428672,5.669730435128361,5.665971134785902
90,6.316564010510812,6.219326791770722,9.038611139078158,6.271861950440007,5.7004525331145315,6.38075114809943,5.951310997348928,6.219044148868685,6.590087848988401
95,6.974779817005042,6.797954498434265,9.462121425541339,6.847612500487264,6.319812650153931,6.943324349359601,6.551293790327206,6.7971229938837325,7.1223219703978335
