,original,filtered tau,excluded tau,passing_tt100,failing_tt100,passing_tt500,failing_tt500,passing_dT<0,failing_dT<0
5,0.7214996411404961,0.7215996992048319,0.7149339260061487,0.7132681781296193,0.8226445132960708,0.6881235759440504,0.7840901098802091,0.7220769300966609,0.5235449039952403
10,0.8593539084785755,0.8597828098503182,0.8428552819897581,0.8476387567435829,0.994819732827046,0.8149018691051775,0.944068083166359,0.8601305073216488,0.622413792614926
17,1.0047184096635107,1.0048520990709036,0.9991051705807231,0.9887929201070563,1.1761594556800397,0.9481200864475974,1.1094502519647083,1.0055212826757092,0.6987101114532206
50,1.5860984579103317,1.5867192492484425,1.5597233072405228,1.5503870010365048,1.9819844809495641,1.4702060415074185,1.7774170987889129,1.5872510550286698,0.9518843303946392
83,2.5029182821925264,2.5034436309427925,2.486826902852968,2.3955768218895725,3.4512167350171614,2.252434882960638,2.8341382467549754,2.5031724308923735,5.967965406196378
90,2.9284233792967913,2.929516297902084,2.904253486881946,2.77281304614571,4.099426188370922,2.607965709400576,3.3143225366711215,2.928902456833182,9.21868504192367
95,3.4857649905310626,3.4853461192864614,3.518037618014311,3.2408254665925336,4.951999177021686,3.045886325971899,3.9454125058531035,3.482957172046372,9.867561483768334
