,original,filtered tau,excluded tau,passing_tt100,failing_tt100,passing_tt500,failing_tt500,passing_dT<0,failing_dT<0
5,1.1855805001987731,1.1860949192816055,1.167757013146772,1.1555970355075724,1.843421742864863,1.0712680000526003,1.5528575761934134,1.1859947698201434,1.3589499060095378
10,1.4189748181094808,1.4193071286427612,1.411342596923344,1.3774356965593502,2.230751648934084,1.2719386405164692,1.8550692709589165,1.419134246690692,1.5162902516305483
17,1.6709028040032912,1.6703974413164713,1.6902786541303079,1.614917912558398,2.62973353302284,1.4770078062223158,2.177620716275909,1.6704134635353816,1.6555659308247592
50,2.693353588807009,2.6935634444074803,2.6922503106414446,2.561225321135161,4.368040986274647,2.2873960978560017,3.4286189643856106,2.6941566379131245,2.1796891113484467
83,4.338097004586079,4.3397001016703545,4.281094066180893,3.9830548777747055,7.009415705692032,3.462072843500051,5.355961004979767,4.339168965251389,7.9895704618242345
90,5.118082456735154,5.117699112363406,5.136073625086864,4.601418508117616,8.11681268243569,3.9817266393254602,6.2373566578805475,5.116393531764545,16.56931472460498
95,6.152028777148703,6.151206039585424,6.2732647955490926,5.346016870149937,9.346788703927555,4.617980311710461,7.378637182098712,6.14771692832144,18.38866524922411
