,original,filtered tau,excluded tau,passing_tt100,failing_tt100,passing_tt500,failing_tt500,passing_dT<0,failing_dT<0
5,1.6024105627184457,1.6025531951553456,1.5920663342628893,1.572277427378741,1.972354788902637,1.5111612200030493,1.7737002433890816,1.6024166296768645,3.7386386740450464
10,1.925412131562043,1.9265813462700703,1.9102479201577642,1.8884705878142176,2.3411807146088663,1.8147820904350347,2.11110124869379,1.925831182034551,5.275915414266056
17,2.270230575231138,2.2703866036250573,2.264684031913152,2.2269689436980284,2.731940359140731,2.1408935971752467,2.4724618563422673,2.269875134318107,6.755720030286606
50,3.6653419199151243,3.6656890509580267,3.647525338120544,3.584912126293516,4.297176374686795,3.4860400941848946,3.904605038174061,3.663979674901453,11.012614941941974
83,5.929623547880814,5.932502748782946,5.799192721580686,5.8165166857181365,6.700571577225608,5.7508057943854585,6.147846141968039,5.924939354648119,14.315197422485104
90,6.988468296197276,6.991644261537474,6.901382698594833,6.8545036498401055,7.8164705044546485,6.830610720320681,7.18487056292931,6.976627565312638,16.636121490997674
95,8.398754699613875,8.405785390975849,8.195169470526544,8.265055335311065,9.255640174243972,8.291599659692897,8.550036034091798,8.374692743250966,19.504199183489497
